バックアップ日,開始時刻,終了時刻,システム名,システム種別,サイズ(GB),所要時間(分),ステータス,バックアップファイル,エラーメッセージ
2025-08-01,03:34:18,04:17:18,prod-db01,PostgreSQL Database,190.66,43,Success,/backup/prod-db01/20250801_033418.bak,
2025-08-01,03:15:24,03:41:24,prod-db02,MySQL Database,217.85,26,Success,/backup/prod-db02/20250801_031524.bak,
2025-08-01,02:01:49,02:23:49,prod-app01,Application Server,81.44,22,Success,/backup/prod-app01/20250801_020149.bak,
2025-08-01,03:43:21,04:03:21,prod-app02,Application Server,108.43,20,Success,/backup/prod-app02/20250801_034321.bak,
2025-08-01,03:03:11,03:28:11,prod-web01,Web Server,30.16,25,Success,/backup/prod-web01/20250801_030311.bak,
2025-08-02,03:08:14,03:41:14,prod-db01,PostgreSQL Database,157.69,33,Success,/backup/prod-db01/20250802_030814.bak,
2025-08-02,02:49:49,03:19:49,prod-db02,MySQL Database,245.91,30,Success,/backup/prod-db02/20250802_024949.bak,
2025-08-02,03:30:55,03:54:55,prod-app01,Application Server,82.05,24,Success,/backup/prod-app01/20250802_033055.bak,
2025-08-02,03:22:50,03:48:50,prod-app02,Application Server,140.01,26,Success,/backup/prod-app02/20250802_032250.bak,
2025-08-02,02:14:48,02:58:48,prod-web01,Web Server,51.49,44,Failed,/backup/prod-web01/20250802_021448.bak,Database lock timeout
2025-08-03,03:00:39,03:20:39,prod-db01,PostgreSQL Database,199.84,20,Success,/backup/prod-db01/20250803_030039.bak,
2025-08-03,03:48:15,04:25:15,prod-db02,MySQL Database,211.67,37,Success,/backup/prod-db02/20250803_034815.bak,
2025-08-03,02:07:48,02:50:48,prod-app01,Application Server,140.1,43,Success,/backup/prod-app01/20250803_020748.bak,
2025-08-03,02:36:15,03:02:15,prod-app02,Application Server,139.31,26,Success,/backup/prod-app02/20250803_023615.bak,
2025-08-03,02:15:42,02:33:42,prod-web01,Web Server,38.48,18,Success,/backup/prod-web01/20250803_021542.bak,
2025-08-04,02:03:50,02:29:50,prod-db01,PostgreSQL Database,197.62,26,Success,/backup/prod-db01/20250804_020350.bak,
2025-08-04,03:45:50,04:29:50,prod-db02,MySQL Database,264.43,44,Success,/backup/prod-db02/20250804_034550.bak,
2025-08-04,03:21:49,04:02:49,prod-app01,Application Server,104.7,41,Success,/backup/prod-app01/20250804_032149.bak,
2025-08-04,03:42:50,04:14:50,prod-app02,Application Server,122.32,32,Success,/backup/prod-app02/20250804_034250.bak,
2025-08-04,02:57:23,03:39:23,prod-web01,Web Server,32.76,42,Failed,/backup/prod-web01/20250804_025723.bak,Disk space insufficient
2025-08-05,03:25:34,03:40:34,prod-db01,PostgreSQL Database,158.63,15,Success,/backup/prod-db01/20250805_032534.bak,
2025-08-05,03:07:44,03:48:44,prod-db02,MySQL Database,271.95,41,Success,/backup/prod-db02/20250805_030744.bak,
2025-08-05,02:30:48,03:06:48,prod-app01,Application Server,130.92,36,Success,/backup/prod-app01/20250805_023048.bak,
2025-08-05,02:31:45,02:53:45,prod-app02,Application Server,146.14,22,Success,/backup/prod-app02/20250805_023145.bak,
2025-08-05,03:19:06,03:57:06,prod-web01,Web Server,39.34,38,Success,/backup/prod-web01/20250805_031906.bak,
2025-08-06,03:36:25,04:13:25,prod-db01,PostgreSQL Database,176.82,37,Success,/backup/prod-db01/20250806_033625.bak,
2025-08-06,03:03:09,03:32:09,prod-db02,MySQL Database,207.91,29,Success,/backup/prod-db02/20250806_030309.bak,
2025-08-06,02:07:05,02:48:05,prod-app01,Application Server,88.38,41,Success,/backup/prod-app01/20250806_020705.bak,
2025-08-06,03:43:50,04:25:50,prod-app02,Application Server,113.78,42,Success,/backup/prod-app02/20250806_034350.bak,
2025-08-06,03:25:13,03:55:13,prod-web01,Web Server,59.88,30,Success,/backup/prod-web01/20250806_032513.bak,
2025-08-07,02:17:54,03:02:54,prod-db01,PostgreSQL Database,218.42,45,Success,/backup/prod-db01/20250807_021754.bak,
2025-08-07,03:07:10,03:29:10,prod-db02,MySQL Database,264.03,22,Success,/backup/prod-db02/20250807_030710.bak,
2025-08-07,03:41:24,04:01:24,prod-app01,Application Server,115.31,20,Success,/backup/prod-app01/20250807_034124.bak,
2025-08-07,03:37:07,04:12:07,prod-app02,Application Server,121.48,35,Success,/backup/prod-app02/20250807_033707.bak,
2025-08-07,02:09:26,02:32:26,prod-web01,Web Server,34.1,23,Success,/backup/prod-web01/20250807_020926.bak,
2025-08-08,03:16:42,03:38:42,prod-db01,PostgreSQL Database,153.31,22,Success,/backup/prod-db01/20250808_031642.bak,
2025-08-08,03:30:39,04:05:39,prod-db02,MySQL Database,213.48,35,Success,/backup/prod-db02/20250808_033039.bak,
2025-08-08,02:46:20,03:31:20,prod-app01,Application Server,140.66,45,Success,/backup/prod-app01/20250808_024620.bak,
2025-08-08,02:08:15,02:31:15,prod-app02,Application Server,115.19,23,Success,/backup/prod-app02/20250808_020815.bak,
2025-08-08,02:47:09,03:04:09,prod-web01,Web Server,43.69,17,Success,/backup/prod-web01/20250808_024709.bak,
