実行日,開始時刻,終了時刻,ジョブID,ジョブ名,所要時間(分),処理件数,ステータス,エラーメッセージ
2025-08-01,00:31:35,00:49:35,DAILY_SALES_SUMMARY,日次売上集計,18,40625,Success,
2025-08-01,01:00:36,01:26:36,DAILY_INVENTORY_UPDATE,日次在庫更新,26,33189,Success,
2025-08-01,02:00:00,02:20:00,DAILY_CUSTOMER_SYNC,日次顧客情報同期,20,48499,Success,
2025-08-01,03:04:49,03:56:49,DAILY_REPORT_GEN,日次レポート生成,52,14089,Success,
2025-08-01,00:29:16,00:31:16,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,306,Success,
2025-08-01,01:05:47,01:09:47,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,414,Success,
2025-08-01,02:48:22,02:53:22,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,231,Success,
2025-08-01,03:14:31,03:19:31,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,139,Success,
2025-08-01,04:49:41,04:52:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,202,Success,
2025-08-01,05:53:09,05:57:09,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,175,Success,
2025-08-01,06:02:31,06:06:31,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,239,Success,
2025-08-01,07:14:57,07:16:57,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,304,Success,
2025-08-01,08:42:26,08:47:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,413,Success,
2025-08-01,09:09:44,09:12:44,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,415,Success,
2025-08-01,10:48:38,10:52:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,269,Success,
2025-08-01,11:08:24,11:12:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,105,Success,
2025-08-01,12:31:08,12:33:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,355,Success,
2025-08-01,13:34:32,13:37:32,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,372,Success,
2025-08-01,14:59:21,15:04:21,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,481,Success,
2025-08-01,15:38:01,15:42:01,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,115,Success,
2025-08-01,16:18:40,16:21:40,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,133,Success,
2025-08-01,17:35:28,17:38:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,115,Success,
2025-08-01,18:35:58,18:39:58,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,226,Success,
2025-08-01,19:47:46,19:51:46,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,165,Success,
2025-08-01,20:57:14,21:00:14,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,300,Success,
2025-08-01,21:28:17,21:30:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,396,Success,
2025-08-01,22:02:41,22:07:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,153,Success,
2025-08-01,23:13:14,23:16:14,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,261,Success,
2025-08-02,00:35:50,00:58:50,DAILY_SALES_SUMMARY,日次売上集計,23,2856,Success,
2025-08-02,01:00:41,01:22:41,DAILY_INVENTORY_UPDATE,日次在庫更新,22,20345,Success,
2025-08-02,02:03:17,02:28:17,DAILY_CUSTOMER_SYNC,日次顧客情報同期,25,38770,Success,
2025-08-02,03:00:18,03:45:18,DAILY_REPORT_GEN,日次レポート生成,45,38606,Success,
2025-08-02,00:51:19,00:54:19,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,173,Success,
2025-08-02,01:41:37,01:43:37,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,323,Success,
2025-08-02,02:07:54,02:12:54,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,241,Success,
2025-08-02,03:45:25,03:47:25,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,380,Success,
2025-08-02,04:43:12,04:48:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,166,Success,
2025-08-02,05:39:27,05:41:27,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,379,Success,
2025-08-02,06:33:24,06:36:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,253,Success,
2025-08-02,07:45:10,07:50:10,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,199,Success,
